imputation,ate,se,ci_lower,ci_upper,p_value,pct_effect
1,-0.06656656863324398,0.006233297058242988,-0.07878383086740023,-0.05434930639908772,2.0,-6.4399367872060465
2,-0.06656656863324398,0.006233297058242988,-0.07878383086740023,-0.05434930639908772,2.0,-6.4399367872060465
3,-0.06656257478846796,0.006233288204446598,-0.07877981966918329,-0.05434532990775263,2.0,-6.4395631220901635
4,-0.06656656863324398,0.006233297058242988,-0.07878383086740023,-0.05434930639908772,2.0,-6.4399367872060465
5,-0.06656951129651525,0.006233304400314913,-0.07878678792113249,-0.05435223467189802,2.0,-6.440212102562648
6,-0.06656656863324398,0.006233297058242988,-0.07878383086740023,-0.05434930639908772,2.0,-6.4399367872060465
7,-0.06656656863324398,0.006233297058242988,-0.07878383086740023,-0.05434930639908772,2.0,-6.4399367872060465
8,-0.06656656863324398,0.006233297058242988,-0.07878383086740023,-0.05434930639908772,2.0,-6.4399367872060465
9,-0.06656656863324398,0.006233297058242988,-0.07878383086740023,-0.05434930639908772,2.0,-6.4399367872060465
10,-0.06656656863324398,0.006233297058242988,-0.07878383086740023,-0.05434930639908772,2.0,-6.4399367872060465
